id,観点,名前,普通なら,ここでは,効く理由,CSS,使う場所,効き,手間,出典
edge/rules-crossing,境界,極細の縦罫を不等間隔で降ろし、面の境界を越境させる,装飾の線は引かない。引いてもセクション内に等間隔で収める,幅1px・薄い青紫の縦線が10本前後、間隔20〜90pxの不等間隔で白場から降り、写真の上辺を越えて写真内部の異なる深さで止まる。写真パネルの右端より外側にも1本走っている。等間隔にせず、止まる深さも揃えないのが肝。,線が白地と写真の境界を跨ぐので、切り替わっている2つの面が1枚の紙の上に見える,".rule{position:absolute; top:0; width:1px; z-index:2;
  background:rgba(90,80,200,.45);
  transform-origin:top; transform:scaleY(0);
  transition:transform .8s cubic-bezier(.2,.7,.2,1)}
.is-in .rule{transform:scaleY(1)}
/* 個別指定の例（左位置は等間隔にしない、高さも揃えない） */
.rule:nth-child(1){left:8%;  height:180px; transition-delay:.00s}
.rule:nth-child(2){left:12%; height:300px; transition-delay:.06s}
.rule:nth-child(3){left:21%; height:230px; transition-delay:.12s}
.rule:nth-child(4){left:23%; height:320px; transition-delay:.18s}
/* 1本はパネルの外側（left:101% など）に置く */",hero features value access,2,2,unico_s02
flow/rail-bleed-cut,視線,列を画面端で断ち切って「まだ続く」を見せる,3枚をコンテナ幅にぴったり収め、下にドットページャーか「一覧を見る」ボタンを置く。,4〜5枚目が画面右端で写真の途中から断たれる。人物の顔の途中でも構わず切り、切れ幅はカード幅の40〜60%。両端型は左右とも切り、中央3枚だけが全体を見せる。続きの存在を矢印や文言でなく断ち切りだけで伝えている。,半端に切れた1枚があるだけで、静止画面に横方向の運動が生まれ、矢印より強く「先がある」と伝わる。,".rail{display:flex;gap:20px;overflow-x:auto;scroll-snap-type:x proximity;
  margin-right:calc(50% - 50vw); /* 片端型：右だけ画面外へ抜く */
  padding-right:0;scrollbar-width:none}
.rail::-webkit-scrollbar{display:none}
.rail>*{flex:0 0 clamp(200px,24%,320px);scroll-snap-align:start}

/* 両端型（左右とも切る） */
.rail--both{margin-inline:calc(50% - 50vw);padding-inline:0}
.rail--both>*{flex:0 0 22%;scroll-snap-align:center}",features voice member value,3,1,odrive_s08 odrive_s02 odrive_s12 sanrio_s06 kobe-wu_s05
flow/line-behind-subject,視線,1本の斜線を人物の背後に通し、両端で色と太さの主従を割る,左向き矢印と右向き矢印を2本引き、それぞれの横に説明文を添える。,右上から左下へ下る太さ3pxの線が、人物の胴で途切れる（背面を通っている）。左端に矢羽。線上の文字は左半分が濃茶＋ティールで大きく太く、右半分は淡いグレーで小さい。同じ1本の両端なのに主従が付き、押したい方向が1つに決まる。,線が人物の後ろに回るだけで平面の図に奥行きが出て、色差で「どちらが主張か」が1つに決まる。,".stage{position:relative;isolation:isolate}
.stage__line{position:absolute;left:12%;bottom:210px;width:66%;height:3px;
  background:#00a5b5;transform:rotate(-17deg);transform-origin:left center;z-index:0}
.stage__line::before{content:"""";position:absolute;left:-1px;top:-7px;
  border:8px solid transparent;border-right-color:#00a5b5}
.stage__subject{position:relative;z-index:2}   /* 背景透過の切り抜き人物 */
.stage__main{position:absolute;z-index:3;color:#3b2b22;font-size:26px;font-weight:700}
.stage__sub {position:absolute;z-index:1;color:#c9ced2;font-size:18px;font-weight:400}",value hero features,3,2,sho_smilezemi_s15
flow/list-grain-shift,視線,一覧の途中で札の形を変えて読む順序をつくる,記事一覧は全件を同じサイズのカードで2〜3カラムに均等に並べる。,上位2件だけ写真上・タイトル下の大カードを2列で並べ、3件目以降は「サムネ左120〜150px・本文右」の横長行に切り替える。行の区切りは1pxのヘアラインだけ。抜粋文が付くのは上位だけ。別型は1件だけ縦2行ぶんの倍サイズにして、残り4件を右に2×2で入れる。,同じ一覧の中で形が変わるので「まずこの2本」という優先度が説明なしに伝わり、スクロール速度まで変わる。,".list{display:grid;grid-template-columns:1fr 1fr;gap:20px}
.list>*:nth-child(-n+2) h3{font-size:20px}
.list>*:nth-child(n+3){grid-column:1/-1;display:grid;
  grid-template-columns:150px 1fr;gap:16px;
  border-top:1px solid #ececec;padding-top:16px}
.list>*:nth-child(n+3) h3{font-size:14px}
.list>*:nth-child(n+3) p{display:none}

/* 1件主役型 */
.grid{display:grid;grid-template-columns:1.15fr 1fr 1fr;gap:12px}
.grid>*:first-child{grid-row:span 2}
.grid>*:first-child h3{font-size:22px}",features value voice,3,2,lumiarch_s05 lumiarch_s08 lumiarch_s06 odrive_s07
flow/plus-equation,視線,2枚のカードを手描きの「＋」でつないで数式として読ませる,2つのプランを同じ幅のカードで等間隔に左右へ並べる。,左右カードの間の余白の中央に、筆で書いたような不揃いな紫の＋（幅44px）を置く。さらに両カードの幅いっぱいに紫の丸帯が下を渡り、3要素で1つの塊になる＝「＝」の役割を果たす。,並列でなく加算だと形で示せるので、「両方セットで効く」という提案が文章を読む前に伝わる。,".pair{display:grid;grid-template-columns:1fr auto 1fr;gap:24px;align-items:center}
.pair__plus{width:44px;height:44px}  /* 手描きSVG。真円・均等線幅にしないこと */
.pair__sum{grid-column:1/-1;margin-top:18px;background:#6b4ef0;color:#fff;
  border-radius:999px;display:flex;justify-content:space-between;align-items:center;
  padding:14px 20px;font-weight:700}
@media(max-width:768px){.pair{grid-template-columns:1fr;justify-items:center}}",price features value,3,2,sho_novakid_s04
flow/sticky-column-moving-rail,視線,左3割を止まった見出し柱にし、右だけ画面外へ流す,見出しを上に置いて中央寄せし、その下に3カラムのカードを均等に並べて全部見せる。,左30%に「小見出し＋タイトル＋説明文＋もっとみる」を縦に積んで position:sticky で止め、右70%だけが横スクロールして画面右端で断ち切れる。上下型もあり、見出しと送りボタンだけを上段に固定し、下段の写真列だけが画面外へ抜ける。,止まっている面と流れる面に役割が分かれるので、どこが動くのか説明なしで分かり、見出しが常に見えるので迷子にならない。,".split{display:grid;grid-template-columns:30% 1fr;column-gap:40px;align-items:start}
.split__col{position:sticky;top:120px;align-self:start}
.split__rail{display:flex;gap:24px;overflow-x:auto;
  margin-right:calc(50% - 50vw);padding-right:0;scrollbar-width:none}
.split__rail>*{flex:0 0 260px}

/* 上下型：固定面と可動面を上下で割る */
.head{display:flex;justify-content:space-between;align-items:center;padding-inline:48px}
@media(max-width:768px){.split{grid-template-columns:1fr}.split__col{position:static}}",features voice value,3,2,kobe-wu_s05 lumiarch_s06 odrive_s11 odrive_s01
flow/axis-outside-the-grid,視線,進行の軸ラベルを表の外に出し、間に▼を挟む,左端に「2025年」の見出し列を作り、格子の中に入れて縦罫で区切る。,「2025年／2026年／2027年」を色帯の左外の白地に置き、年と年の間に赤い▼（幅12px）を1つずつ挟んで縦の進行を示す。年ラベルは行の中央でなく各行の書影の上端に揃える。表の中に縦罫は1本も無く、列は色帯だけで分かれている。,軸を格子の外に出すと表が「囲われた表」でなくなり、▼だけで方向が読めるので罫を1本も引かずに済む。,".chart{display:grid;grid-template-columns:64px repeat(6,1fr);column-gap:0}
.years{display:grid;justify-items:end;padding-right:16px}
.years b{font-size:13px;align-self:start;padding-top:10px;font-weight:400}
.years i{display:block;width:0;height:0;border:6px solid transparent;
  border-top:9px solid #e2352c;margin:14px auto}
.col{background:#eaf4fb}          /* 縦罫でなく色帯で列を分ける */
.col:nth-child(3){background:#eaf7ee}
.col:nth-child(4){background:#fdf3e6}",features value price,2,1,tanq_s05
flow/flanking-pair,視線,本文の左右外側に対の素材を置いて中央に縦の通路をつくる,見出しの上にアイコンを1つ中央置きし、写真は本文の後にまとめて並べる。,色地の面で本文を中央の細幅（約46%）に絞り、左外の余白に三輪車の切り抜き、右外に子どもの切り抜きを高さをずらして対で置く。締めの1行見出しは左に種、右に手の線画（塗りなし・線1.5px・別色）で挟む。中央だけが読む道になり、長い本文のあとの着地点ができる。,左右対称の印が中央の文字列を囲い込み、要素を足さずに読む幅と着地点を同時に決められる。,".flank{position:relative;padding:80px 0;background:#7d2b2b}
.flank__body{width:min(560px,46%);margin-inline:auto}
.flank__l{position:absolute;left:2%;top:22%;width:130px}
.flank__r{position:absolute;right:2%;top:30%;width:150px}  /* 左右で高さをずらす */
.flank__lead{display:flex;align-items:center;justify-content:center;gap:32px}
.flank__lead svg{fill:none;stroke-width:1.5;width:34px}
.flank__lead svg:first-child{stroke:#6fb3a8}
.flank__lead svg:last-child{stroke:#d98b7a}
@media(max-width:768px){.flank__body{width:86%}.flank__l,.flank__r{position:static;width:90px}}",value features cta,2,1,meisei-kg_s03
flow/nav-off-the-cards,視線,送り操作をカードに重ねず見出し行の右端へ逃がす,前後ボタンはカード列の左右中央に半透明の丸で重ね、下に丸ドットのページャーを置く。,塗りなし・1px枠の正円（直径20〜34px）を2つ、見出しと同じ行の右端に並べる。カードの上には何も重ならない。進捗は丸ドットでなく幅56px・高さ3pxの横バーで、現在位置だけ赤。写真の上に置く場合だけ枠を白にする。,操作系が写真に被らないので、カードの断ち切りがそのまま素直に読める。,".rail-head{display:flex;justify-content:space-between;align-items:center;margin-bottom:22px}
.rail-nav{display:flex;gap:10px}
.rail-nav button{width:26px;height:26px;border:1px solid #d8d8d8;border-radius:50%;
  background:none;color:#333;display:grid;place-items:center;font-size:11px;cursor:pointer}
.rail-nav--onphoto button{border-color:#fff;color:#fff;width:34px;height:34px}

.bars{display:flex;gap:8px;margin-top:18px}
.bars i{display:block;width:56px;height:3px;background:#555}
.bars i.is-on{background:#e60012}",features voice member,2,1,odrive_s08 odrive_s02 odrive_s11
flow/photo-empty-side,視線,被写体の空いている側だけに文字カードを置き、スクリムを敷かない,写真の中央にテキストボックスを重ねるか、黒の半透明スクリムを全面に敷いて白文字を載せる。,母子が右1/3に寄った写真を選び、object-position で人物側を残す。白カード（幅41%）は壁と机だけの左側にだけ重ね、カード右端と子どもの手の間に約20pxの空きを残して視線がカード→人物へ抜けるようにする。暗幕も透過も一切使わない。,重ねる位置を写真の中身で決めているので、暗幕や透過なしでも本文が読め、写真が明るいまま残る。,".hero{position:relative}
.hero img{width:100%;height:520px;object-fit:cover;object-position:70% center}
.hero__card{position:absolute;left:4%;top:50%;translate:0 -50%;
  width:41%;max-width:330px;background:#fff;padding:34px 30px;
  box-shadow:0 2px 20px rgba(0,0,0,.06)}
/* スクリム（linear-gradient や rgba黒のオーバーレイ）は敷かない */
@media(max-width:768px){.hero__card{position:static;width:auto;max-width:none;translate:0}}",hero value member,2,1,unico_s06
flow/zigzag-columns,視線,2カラムの高さを揃えず上下にずらす,左右カラムの見出し・本文・写真の高さを揃え、横一直線に並べる。,左は「見出し→本文→写真」、右は「写真→見出し→本文」の順で組み、右の写真は左の本文の中ほどの高さから始まる。左右どの要素も水平に揃っていない。視線が左上→右中→左下→右下と折れて進む。,要素の頭が水平に揃わないことで、2列組の「表」感が消えて読み進める順序が生まれる。,".zig{display:grid;grid-template-columns:1fr 1fr;column-gap:80px;align-items:start}
.zig>*:nth-child(odd){padding-top:56px}
.zig>*:nth-child(even){padding-top:0}
/* 各カラムを独立フローに保つ。align-items:stretch や grid-auto-rows で揃えない */
.zig img{width:100%;height:auto;display:block}
@media(max-width:768px){.zig{grid-template-columns:1fr;row-gap:32px}.zig>*{padding-top:0}}",value features voice,2,1,buddies_s04
flow/arc-cycle,視線,円を三角に置き、外周を回る破線の弧で循環をつくる,3要素を横一列に並べ、間に同じ直線矢印を1種類だけ置く。,3つの円（写真入り・塗り分け）を正三角形に配置し、中心に総括ラベルの円を置く。円と円は円の外側を大きく回る弧で結び、区間ごとに水色破線・濃紺破線と描き分ける。矢羽は小さく、円に触れない位置で終わる。,弧が円のリズムに沿って走るので、直線矢印のように図を横切って破綻させず、順路だけが残る。,".cycle{position:relative;aspect-ratio:1;max-width:420px;margin-inline:auto}
.cycle>svg{position:absolute;inset:0;width:100%;height:100%;pointer-events:none;z-index:1}
.cycle__node{position:absolute;width:38%;aspect-ratio:1;border-radius:50%;z-index:2;
  display:grid;place-items:end center;text-align:center}
.cycle__core{position:absolute;left:50%;top:50%;translate:-50% -50%;
  width:30%;aspect-ratio:1;border-radius:50%;background:#f6e96b;z-index:3;display:grid;place-items:center}

<!-- SVG内 -->
<marker id=""ah"" viewBox=""0 0 8 8"" refX=""6"" refY=""4"" markerWidth=""5"" orient=""auto"">
  <path d=""M0 0 L8 4 L0 8"" fill=""none"" stroke=""#3aa9dc"" stroke-width=""1.5""/></marker>
<path d=""M120 90 A140 140 0 0 1 300 150"" fill=""none"" stroke=""#3aa9dc""
  stroke-width=""2"" stroke-dasharray=""7 7"" marker-end=""url(#ah)""/>",value features,2,2,sho_kimini_s05
flow/marquee-strip,視線,流れる文字帯を罫や装飾の代わりに使い、語は端で切ったままにする,タグは静止したチップとして本文の下に折り返して並べる。見出しの上には何も置かないか1本罫を引く。,高さ30px程度の黒帯を敷き、左端に「BUZZ KEYWORD」の固定ラベルを貼り、その脇からキーワードが流れる。先頭は「ープワーク」と語の途中から現れ、右端でも切れる。軽い版は9pxの欧文を7回反復して流し、下に1pxのヘアラインを引いて罫そのものを文字に置き換える。,止まっているラベルと動く列を分けることで、端が切れているのが事故でなく仕掛けだと伝わる。,".ticker{position:relative;display:flex;align-items:center;overflow:hidden;
  height:30px;background:#111;color:#fff;
  margin-left:43px;margin-right:calc(50% - 50vw)}
.ticker__label{position:sticky;left:0;z-index:2;background:#111;flex:0 0 auto;
  padding:0 18px;font-size:11px;letter-spacing:.12em}
.ticker__items{display:flex;gap:24px;white-space:nowrap;animation:mq 28s linear infinite}
@keyframes mq{to{transform:translateX(-50%)}}

/* 罫の代わり版 */
.rule-ticker{font-size:9px;letter-spacing:.18em;color:#e39aa9;white-space:nowrap;
  overflow:hidden;border-bottom:1px solid #f1eaea;padding:14px 0}
@media(prefers-reduced-motion:reduce){.ticker__items{animation:none}}",hero features footer,2,2,odrive_s01 meisei-es_s09
overlap/badge-half-out,かさなり,バッジ・ピル・操作ボタンを枠の辺に半分だけ噛ませる,タグやバッジはカードの内側に、余白を取った角丸ラベルとして置く,要素の中心を辺の線上に置き、半分を外へ出す。カテゴリピルがカード上辺を半分またぎ、下半分だけが淡い地色に乗る（meisei-kg_s13）。丸バッジがアーチ写真の上辺をまたぎ、カードの紫2pxの枠線がバッジの左と下で途切れる（sho_peppy_s01／sho_novakid_s04）。45°回転の菱形NEWがサムネ左上角から上と左へ1/3出て、カードの矩形を破る（lumiarch_s06／s08）。カルーセルの矢印がパネルの左辺・右辺の上に半分だけ乗る（sho_risu_s05）。「10min」ピルが時計円の輪郭線を分断して下へぶら下がる（sho_kidsduo_s08）。順位プレートは写真の下辺を8px越えてキャプション帯にかかる（odrive_s12）。,枠線が途切れることでバッジが「後から貼られた印章」になり、カードが箱でなく重なった紙に見える。操作部を縁に噛ませるとパネル全体が動く対象だと直感できる,".card{position:relative; overflow:visible}       /* 必須。hiddenで全部死ぬ */

/* 上辺に半分噛ませる（ピル） */
.tag{position:absolute; top:0; left:14px; translate:0 -50%;   /* 辺の線上に中心 */
  z-index:3; border-radius:999px; padding:4px 12px;
  font-size:11px; background:#7fc9ae; color:#fff}

/* 角から菱形で突き出す（NEW） */
.badge{position:absolute; top:-8px; left:-8px; z-index:3;
  width:30px; height:30px; background:#0b57d0;
  transform:rotate(45deg); display:grid; place-items:center}
.badge span{transform:rotate(-45deg); color:#fff; font-size:8px; font-weight:700}

/* 操作部を面の左右の縁に噛ませる */
.arrow{position:absolute; top:50%; translate:-50% -50%; z-index:3;
  width:34px; height:56px; background:#12a6bd; border-radius:4px}
.arrow--prev{left:0}
.arrow--next{left:100%}

/* 円の輪郭を分断してぶら下げる */
.clock{overflow:visible}
.pill{position:absolute; left:50%; bottom:-14px; translate:-50% 0; z-index:3;
  background:#12569e; color:#fff; border-radius:999px;
  padding:4px 14px; white-space:nowrap}",features price member voice cta,3,1,meisei-kg_s13 sho_peppy_s01 sho_novakid_s04 sho_novakid_s06 lumiarch_s06 lumiarch_s08 hanamaru_s07 sho_risu_s05 sho_kidsduo_s08 odrive_s12 musashino_s01
overlap/bg-type-eaten,かさなり,極大の欧文を背面に敷き、写真やカードに大半を食わせる,英語のセクションラベルは見出しの上に小さい大文字で、読める大きさで置く,90〜120px級の欧文を地とほぼ同トーン（明度差3〜8%）で敷き、上端で断ち切ったうえに写真・カード・キャラで単語の後半を完全に隠す。読ませる意図がない。sanrio_s01は3行フル幅の淡青紫をキャラの立ち姿が分断、odrive_s06は黒#111の上に#2a2aの120pxを置きカード3枚で覆って隙間から字画だけ見せる、buddies_s03は筆記体110pxの「program」後半を写真が飲む、yugao_s06はロゴタイプの中ほど（RIS YUG）をアーチ写真が隠す。,隠れて読めない部分があることで文字が情報から地紋に落ち、日本語見出しの可読性を一切邪魔せずに階調と奥行きが1段増える,".sec{position:relative; overflow:hidden}
.bgword{position:absolute; top:-48px; left:0; z-index:0;
  font-size:clamp(64px,11vw,120px); font-weight:800; line-height:1;
  letter-spacing:.02em; white-space:nowrap;
  color:#2a2a2a}            /* 地#111との明度差は3〜8%だけ。読ませない */
.sec > .card, .sec > figure{position:relative; z-index:1}

/* 筆記体・淡色版（明るい地の上） */
.eyebrow{position:absolute; top:40px; left:0; z-index:0;
  font-family:'Tangerine',cursive; font-size:clamp(64px,9vw,120px);
  line-height:.95; color:#e7dcc6}
.photo{position:relative; z-index:1}",hero features value voice member,3,1,sanrio_s01 odrive_s06 buddies_s03 yugao_s06 yugao_s10
overlap/cross-the-band,かさなり,色面の境界に要素をまたがせ、片側だけはみ出させる,要素は色面の内側に収め、上下に余白を取って境界線には触れさせない,"縦組み見出し2行が白地のy≈85から始まり、ミント面の上辺を越えてy≈320まで下りる＝色の境目が文字列の途中を横切る（linie_s11）。角丸24px＋白フチ4pxの写真が白パネルの天面より40px上（黄の地の上）から始まりパネルの右上角を覆う（yamanomi_s05）。写真3枚が1〜2度ずつ逆向きに傾き、上端は緑面・下端は白い弧側にかかる（linie_s01）。六角カードの下の頂点が斜め境界を越えて隣の写真帯に乗る（tanq_s07）。三角の紙吹雪は必ずタイルの目地をまたぐ位置に置く（tanq_s01）。高さ110pxの「03」が淡ミント#D5FCEFのまま緑パネル#36C29Fの左辺を10px越え、色が変わらないので2面を結ぶ""橋""になる（sho_seiha_s08）。上だけ10px出して右辺は余白ゼロで面一、という非対称パディングも同じ手（yamanomi_s07）。",境界を跨ぐ物が1つあるだけで、面の切り替えが「壁」でなく「奥行き」になる。同色のまま跨がせると2面を結ぶ橋として読める,".band{position:relative; overflow:visible}   /* hiddenにすると全部死ぬ */

/* 縦組み見出しを境界の上から下へ通す */
.band .vhead{position:absolute; top:-70px; left:74px; z-index:2;
  writing-mode:vertical-rl; font-size:20px; line-height:2.1; letter-spacing:.05em}

/* 写真をパネルの天面より上から始める */
.panel{position:relative; background:#fff; border-radius:32px}
.panel .photo{position:absolute; top:-40px; right:24px; width:46%; z-index:2;
  border:4px solid #fff; border-radius:24px; box-shadow:0 6px 16px rgba(0,0,0,.06)}

/* 同色のまま面をまたぐ""橋"" */
.num{position:absolute; left:12%; top:50%; translate:0 -50%; z-index:2;
  font-size:120px; font-weight:800; line-height:1; color:#d5fcef}
.panel--green{position:relative; z-index:1; background:#36C29F}

/* 非対称：上だけ出して右は面一（余白ゼロ） */
.card{border-radius:96px; overflow:visible;
  display:grid; grid-template-columns:1fr auto;
  padding:56px 0 56px 56px}                  /* 右padding 0 = 面一 */
.card img{margin-top:-10px; border-radius:32px}",hero features value voice member access,3,1,linie_s11 linie_s07 linie_s01 yamanomi_s05 yamanomi_s07 tanq_s07 tanq_s01 meisei-kg_s10 sho_seiha_s08
overlap/frame-ignores-grid,かさなり,表・グリッドの罫に従わない枠や矢印を1つだけ載せる,強調したい列はセルに背景色を敷く／矢印や注釈は図の外側に置く,中央列を囲うピンク2pxの矩形が、表の1行目より上・最終行より下まで12〜16pxはみ出し、角丸コンテナの外まで突き抜ける。行の横罫はこの枠の下をそのまま通過する（sho_globalcrown_s12）。破線枠から実線枠へ向かう矢印を、2つの枠の境界線の上に重ねて置く＝ブロックが動く関係に見える（sho_atama_s08）。1pxの金の罫でセルを切りつつ、円周文字と星が縦罫を越えて隣のセルへ入り込む（yugao_s10）。,枠がグリッドに従わないので「表の一部」でなく「表に貼った付箋」に見え、視線が最初にそこへ行く。矢印が枠を跨ぐと「隣にある2つ」でなく「移動・伸長する1つ」として読める,".table{overflow:visible}
.own{position:relative}
.own::after{content:''; position:absolute; inset:-16px 0 -14px;  /* 上下に突き抜ける */
  border:2px solid #ff2d78; border-radius:0; pointer-events:none}

/* 2つの枠の境界に矢印を跨がせる */
.arrow{position:absolute; left:50%; translate:-50% 0; z-index:2;
  width:0; height:0; border-left:6px solid transparent;
  border-right:6px solid transparent; border-bottom:10px solid #111}
.arrow::after{content:''; position:absolute; left:-2px; top:8px;
  width:4px; height:26px; background:#111}

/* 罫を越えて隣のセルへ入る装飾 */
.cell{position:relative; overflow:visible;
  border-right:1px solid #e6ddc9; border-bottom:1px solid #e6ddc9}
.cell .ring{position:absolute; left:-46px; z-index:2}",price features value,3,1,sho_globalcrown_s12 sho_atama_s08 yugao_s10
overlap/grows-from-behind,かさなり,"装飾や写真を枠の""裏""から生やし、根元を隠す",イラストや装飾はカードの左右の余白、空いた場所に置いて要素同士は重ねない,はみ出しの逆向き。遊具に座った子どもの切り抜きがカード上辺の後ろから伸び、赤い支柱の下端はカードに隠れて途切れる（meisei-kg_s13）。直径92pxのマゼンタの正円ボタンの上辺の裏から、3体のキャラが頭だけ出す（sanrio_s01）。立体のリボンがアーチの右上角に半分だけ掛かって浮く（sanrio_s06）。装飾側のz-indexを必ず下にするのが肝。,枠の上辺が「地面」になり、装飾が背景でなくレイヤーの一部として読める。手前に出すより占有面積が小さく、要素が増えて見えない,".card{position:relative; z-index:1}            /* 本体を手前に */
.card .deco{position:absolute; z-index:0;       /* ← 0。前に出さない */
  right:6%; bottom:100%; transform:translateY(38%);
  width:32%; pointer-events:none}

/* CTAの裏から頭だけ覗かせる版 */
.entry{position:relative; z-index:2; width:92px; aspect-ratio:1;
  border-radius:50%; background:#F2258E; color:#fff;
  display:grid; place-content:center}
.peek{position:absolute; z-index:1; left:50%; bottom:78%; translate:-50% 0}",features value cta member hero,3,1,meisei-kg_s13 sanrio_s01 sanrio_s06
overlap/headline-eats-body,かさなり,見出しを本文の上に直接重ね、本文の一部を読めなくする,見出しを上・本文を下に段組みし、余白で離して絶対に重ねない,極太ゴシック3行の見出しが本文段落の1〜3行目の上にそのまま乗り、本文の文字が見出しの黒に隠れて読めない。回り込み（shape-outside）を使わず本文は素のまま流す。見出しは本文の左端より約80px右から始まり、本文の版面幅を越えて右へ張り出す。,平坦なテキストだけの面に前後の層ができ、隠れてでも読ませたい一文が主役に立つ,".lead{position:relative}
.lead p{margin:0; line-height:2.0; color:#333}   /* 回り込ませない・避けさせない */
.lead h2{position:absolute; top:0; left:80px; z-index:2;
  margin:0; background:none;
  font-weight:700; font-size:clamp(28px,4.5vw,56px); line-height:1.35;
  width:max-content; max-width:none}            /* 版面幅を越えてよい */",value voice hero,3,1,gakugei_s03
overlap/paper-stack,かさなり,背後にもう1枚の紙を数度ずらして重ね、端で断ち落とす,カードは1枚だけ置き、ドロップシャドウで浮かせて終わり,手前の白い紙の上辺から、左が厚く右へ細る楔形にピンクの紙がのぞく＝背面が1.5°傾いていることが形で分かる。右端にも同じピンクが数px見える（meisei-es_s09）。写真の背後に線だけ・中身なしの同型フレームが右上へ14pxずれて重なり、2枚重ねに見える（linie_s05／s06）。2枚のカードが2〜4°ずつ逆向きに傾いて食い込み、左のカードは画面左端で切れて全体が見えない（kase_s01）。幅も高さも違う3枚を階段状に置き、隣同士を8pxだけ重ねて中央だけz-index:2にする（buddies_s05）。,紙が複数ある＝続きがあることを、要素を増やさず疑似要素1枚で示せる。重なりが8pxでも前後関係が生まれ、3枚が「並んだ人」でなく「集まった人」に見える,"/* 背後にもう1枚（疑似要素1つで済む） */
.sheet{position:relative; isolation:isolate; border-radius:14px}
.sheet::before{content:""""; position:absolute; z-index:-1;
  inset:-16px -10px 24px -4px;              /* 上と左を厚く＝楔形にのぞく */
  background:#f6dfe2; border-radius:14px; transform:rotate(-1.5deg)}

/* 中身なしの空フレーム版 */
.photo::before{content:""""; position:absolute; z-index:-1;
  inset:-16px -16px 16px 16px; background:#fff;
  border:1px solid #dcdcdc; border-radius:14px}

/* 逆向き傾き＋画面端で断ち落とし */
.deck{overflow:hidden}
.deck .card{box-shadow:0 10px 24px rgba(0,0,0,.10); border:0}
.deck .card:nth-child(1){transform:rotate(-3deg); margin-left:-48px}
.deck .card:nth-child(2){transform:rotate(2deg);  margin-left:-72px; z-index:2}

/* 階段状に8pxだけ重ねる（3枚） */
.row{display:grid; grid-template-columns:repeat(3,auto)}
.row > *{margin-left:-8px; border-radius:20px}
.row > *:nth-child(1){transform:translateY(24px)}
.row > *:nth-child(2){transform:translateY(64px); z-index:2}",hero features voice member news,3,1,meisei-es_s09 linie_s05 linie_s06 kase_s01 buddies_s05 linie_s01
overlap/translucent-veil,かさなり,半透明の面を重ね、写真を切らずに文字面と保留領域を作る,左に白のテキストボックス・右に写真を並べる／注釈は表の下に1行足す,"1本の帯の左半分に rgba(126,192,222,.86) を重ね、下の写真（PCに向かう学生）が薄く透けたまま白文字を載せる。トリミングで分けるのでなく「薄める」ことで文字面を作り、境界は縦の直線1本だけ（kobe-wu_s07）。写真をセクション背景そのものにしてオレンジのデュオトーンにし、右へいくほど #b8740f のベタに溶かして本文をそこに乗せる（buddies_s10）。表の3行目の2〜6列目だけを1px破線で横断的に囲み、中に rgba(255,255,255,.62) を掛けて沈め、中央に「実施イメージです」を重ねる。1列目だけは囲みの外で通常の濃さのまま残す（tanq_s05）。日付の円を rgba(...,.38) にしてカード左辺から半分外に出すと、1つの円の中に「カードの上」と「背景の上」の2色が同居する（kobe-wu_s04）。",写真の枠が消えるので人物と文章が同じ空間にいるように読める。またいだ部分だけ色が変わることで重なりの前後関係がその場で証明される,"/* 写真を切らずに文字面を作る（境界は縦線1本） */
.row{position:relative; min-height:300px; background:url(photo.jpg) center/cover}
.row__text{width:50%; height:100%; padding:40px; color:#fff;
  background:rgba(126,192,222,.86)}

/* デュオトーンで片側へ溶かす */
.sec{background:linear-gradient(90deg,rgba(184,116,15,.15) 0%,#b8740f 58%),
                url(portrait.jpg) left center/cover;
     background-blend-mode:multiply}

/* 範囲だけ沈めて注記を重ねる（未確定・準備中） */
.tentative{position:relative; grid-column:2/7; border-radius:10px;
  outline:1px dashed #9aa2a8; outline-offset:-1px}
.tentative::before{content:""""; position:absolute; inset:0; background:rgba(255,255,255,.62)}
.tentative .note{position:absolute; inset:0; display:grid; place-content:center; text-align:center}

/* またいだ部分だけ下地を透かす */
.date{position:absolute; left:-36px; top:50%; translate:0 -50%;
  width:72px; aspect-ratio:1; border-radius:50%;
  background:rgba(125,145,155,.38); color:#fff;
  display:grid; place-content:center; text-align:center}

/* 面を敷かない版：影だけで明るい写真に白抜きを乗せる */
figcaption{position:absolute; left:10px; bottom:8px; color:#fff;
  text-shadow:0 1px 4px rgba(0,0,0,.65)}",about voice value price access hero,3,1,kobe-wu_s07 buddies_s10 tanq_s05 kobe-wu_s04 odrive_s08
