id,type,name,priority,summary,when,avoid,slots,exampleIds
curriculum/curriculum-flat-logotype,curriculum,ベタ地×ロゴタイプ列（枠も罫も置かず、字面の差で見せる）,3,背景を高彩度のベタ1色（蛍光グリーンなど）で全面に敷き、カード枠・罫線・影・写真を一切置かない。各項目の頭に来るのは説明文ではなく、その事業/コースのロゴタイプそのもの（手描き風・組み文字・和欧混植）を大きく（高さ48〜72px）配置し、書体と字面の差だけで3つの違いを見せる。ロゴの真上に半透明白のピルラベル（「Project 01」など・10〜11px・padding 4px 12px）を小さく載せて番号付けする。ロゴの下は、『二重括弧』で囲んだ小見出し（13〜14px・太字）→ 3〜4行の小さめ本文（11〜12px・行間1.8）→ 列の右下に矢印だけのリンク（テキストなし・16px）。矢印は全列で同じ高さに揃える（本文の行数が違っても揃える）。3列・列間40〜56px、セクションの上下は背景色の余白を80〜120px大きく取る。ロゴの縦位置は数値で揃えず、字面の重心で光学的に揃える（ロゴごとに字の高さが違うため、ボックス揃えだとガタつく）。説明文を一切置かず、ロゴだけを等間隔に3つ並べてピルラベルで番号付けする最小版も成立する——その場合は下に続くセクションで説明する前提にする。,各コース/事業に独自のロゴやネーミングがあるとき / ブランドカラーが強く、色面で世界観を作れるとき / 写真素材が弱い／揃っていないとき,ロゴタイプが用意できないとき（ただの色地に文字になる） / 項目が4つ以上のとき（字面の差が読み取れなくなる） / 落ち着き・信頼感を出したいとき（彩度が高すぎる）,ピル番号ラベル / ロゴタイプ画像/組み文字 / 『二重括弧』小見出し / 本文3〜4行 / 矢印リンク / ベタ地の色,gakugei_s07 gakugei_s05
faq/faq-accordion-bar,faq,淡色バー積層アコーディオン（基本形）,1,コンテンツ幅720〜880pxの中央1カラム。1件＝高さ56〜64pxの角丸バー（radius 8〜12px）で、背景はブランド色を白地に10〜15%だけ効かせた淡いティント。左端24pxに「Q.」テキストか直径24〜28pxの円形Qアイコン（ブランド色ベタ＋白抜きQ）、その右16pxあけて質問文（15〜16px/700、濃色）。右端16〜20pxに＋／−記号（線幅2px、ブランド色）。閉じている時と開いている時でバーの背景色は変えず、＋→−の差し替えだけで状態を示すのが肝。バー同士は罫線を使わず8〜12pxのgapで離し、色面の切れ目だけで区切る。開いた回答はバーの直下に接続して置き、背景は白または極薄グレー、左paddingは質問文の頭（アイコン幅ぶん字下げ）に揃え、上下20〜24px・本文14〜15px・行間1.9。セクション見出しは中央に置き、テキスト下端に太さ8px前後の蛍光ペン風下線（黄など補色）を重ねて硬さを抜く。初期状態は先頭1件だけ開いておき「これは開くものだ」と伝える。件数が多い時は末尾に「もっと見る ▸」を右寄せの小さなテキストリンクで添える。,質問5〜8件、回答が2〜4行に収まる / 業種・トーンを問わない既定の選択肢 / LP下部でCTA直前に不安を潰したい,質問が15件以上ある（カテゴリ束ね型へ） / 回答本文そのものを必ず読ませたい（常時開示型へ）,セクション見出し / 質問1..n / 回答1..n / もっと見るリンク（任意）,sho_atama_s15 sho_kimini_s13
faq/faq-open-qa-list,faq,常時開示Q&A（帯＋ぶら下げ字下げ）,2,開閉機構を持たず、全問を開いたまま読ませる型。1件は「Q帯」と「A本文」の2段構成。Q帯はコンテンツ幅いっぱいに淡いベージュ／淡色の背景面を敷き（上下12〜14px・左右24px、角丸0〜4px）、左に「Q1」「Q2」の連番ラベル（ブランド色・700・小さめ）、その右に質問文（15px/700）。A本文は帯の外に出して背景なし、左にアクセント色の小さな「A」ラベルを置き、本文はAラベルの右端で左揃えを揃えて折り返す（ぶら下げインデント）。Q帯とA本文の間は12px、件と件の間は32〜40pxとしっかり空け、罫線は一切使わない。セクション全体の背景に淡いイラスト／記号パターン（不透明度5〜8%、大きめの図案を散らす）を敷き、上下のセクションと色面だけで切る。見出しは中央、真上に小さなアイコンを載せる。,回答自体が説得材料（料金・返金・対象年齢・安全性など） / スクロールだけで不安解消を完結させたい / 質問4〜6件で回答が長め,質問が10件以上（縦に伸びすぎる→バー型へ） / 回答が1行しかない（帯が無駄に重い）,セクション見出し / 背景パターン / Q連番ラベル / 質問1..n / 回答1..n,sho_globalcrown_s13
faq/faq-pill-2col,faq,ピル型2列カード（罫線なし・影だけ）,2,"質問だけを角丸フル（border-radius 999px）の白いピル型カードにして2列グリッドで並べる。セクション背景は白〜ごく薄いグレーのグラデ。カードは高さ56〜64px、左padding 28〜32px、右端に細線1.5pxの＋アイコン（グレー）。罫線は完全に使わず、box-shadow 0 2px 12px rgba(0,0,0,.06) 程度の淡い影だけで面から浮かせる。列gap 20〜24px、行gap 16px。質問文は15px/500、濃紺寄りのダークグレー。gridはalign-items:startにして、開いたカードだけがピル→角丸16pxの矩形へ変形し下方向に伸び、隣の列は動かさない。回答は質問の下に14px/1.8で入れ、左右paddingは28pxのまま揃える。質問は25文字前後で長さを揃えることが前提の型（1行に収まらないとピルの形が崩れる）。見出しは小さく上に置くか、直前のセクション見出しに吸収させて省略しても成立する軽い佇まい。",質問が8〜16件と多く、1件あたりの回答が2〜3行と短い / 医療・介護・士業・BtoBなど清潔で硬めのトーン / 縦の消費を抑えてCTAを早く出したい,質問文が長く2行になる（ピルが破綻する） / 回答が長文で読ませたい / 質問が5件以下（2列にすると寂しい）,セクション見出し（任意） / 質問1..n（各25字前後） / 回答1..n（短文）,r-reha_s10 r-reha_s11
faq/faq-category-accordion,faq,カテゴリ束ねアコーディオン（濃色バー→白パネル反転）,3,質問を「料金・教室」「講師」「実績」などのカテゴリに束ね、第一階層にはカテゴリ名だけを出す。カテゴリ行はコンテンツ幅いっぱいの濃色バー（ブランドの最も濃い色ベタ、白文字700、中央揃え、高さ44〜52px、角丸6px）を10〜12pxのgapで積む。右端に＋／−。開いたカテゴリだけが「バー＋白パネル」の一体ブロックに反転する：濃色バーは上端に残したまま、その下に白い本文パネルが接続し、パネル側にも同じ濃色の細枠（2px）を回して1つの塊に見せる。パネル内は上下20px・左右24px、「Q. 質問見出し（ブランド色・700・15px）」＋回答本文（14px/1.9、黒、リンクは下線付きアクセント色）を1組として、組と組の間を20px空け、罫線は引かない。セクション全体の背景を淡いブランド色ティントにして白パネルを浮かせる。同時に開くのは1カテゴリのみ（排他）、初期は先頭を開いておき中身の粒度を見せる。,質問が15件以上あり、料金・講師・実績など性質の違う塊に分かれる / 情報量の多いサービス紹介LPやサイト下部の総合FAQ / 全部並べると縦に長すぎる,質問が10件未満（カテゴリ分けが空々しい） / カテゴリ名だけでは中身が想像できない（ユーザーが開かない）,セクション見出し / カテゴリ名1..n / 各カテゴリ内の質問／回答の組,sho_eikenacademy_s14
news/news-sticky-side-feed,news,左固定見出し × 粒度が落ちる記事フィード,1,"セクションを縦の細罫で 左33% : 右67% に割る。左カラムは position:sticky（top は 80〜120px）で固定し、上から「大きな和文見出し（48〜64px・主色）」「3〜4行のリード（13px / line-height 1.9）」「主色の線画イラスト（線幅2px前後・塗りなし・カラム幅の80%）」を上詰めで積む。イラストは右カラムが長いぶんの縦の空きを埋める役なので高さ可変でよい。右カラムが本体で、肝は""粒度を途中で一段落とす""こと：上位2件だけ 16:9画像＋タイトル2行＋タグピル＋日付 の大カードを2列で並べ、3件目以降は「サムネ（幅120〜160px・4:3）左／テキスト右」の横一列の行に落として、行間を1pxの細罫（主色8%）で区切る。大カード群と行リストの境目がこのセクション唯一のリズムなので、そこだけ余白を48px（行間の倍）取って落差を見せる。タグは低彩度のピル（角丸999・背景はアクセント15%・11px）で最大4つ、日付は最小サイズのグレーで各アイテムの最下段に固定。新着は画像の左上へリボンを画像の外へわずかにはみ出させて掛ける。列の末尾に幅広のピル型「もっと見る」を右寄せで1つだけ。カード・行とも影は使わず、境界は罫線と余白だけで作る。",記事が6件以上ある / 全件にサムネイルがある / 読ませる／回遊させたいオウンドメディア型 / セクションの縦が600px以上取れる,記事が3件以下（stickyが効かず左が間延びする） / 画像が用意できない記事が混ざる / 告知を1画面で完結させたいだけの場合,見出し / リード文 / 装飾イラスト / 主役記事1 / 主役記事2 / 記事行（3〜6件） / カテゴリタグ / 日付 / 一覧ボタン,lumiarch_s05 lumiarch_s06 lumiarch_s08 lumiarch_s07 kobe-wu_s05
news/news-sticky-side-hairline-list,news,造形を左に全部寄せ、右は罫線だけのリスト,1,同じ左右非対称2分割（左25〜30% / 右70〜75%）だが、右の記事側から装飾を完全に外し、造形を左ブロックに全部寄せる型。左ブロックは次の3択のどれか1つに絞る：(a) NEWS等の英字を縦組み（writing-mode: vertical-rl）で80〜120px・極細ウェイトで置き、脇に小さくカナのルビを添える (b) 小英字ラベル＋大きな和文見出し＋円形矢印の一覧ボタンを縦に積む (c) 見出しの下にカテゴリ絞り込みを縦1列のボタン列（角丸8px・幅140〜180px・選択中だけ濃色ベタ＋白文字、他は白地＋1px枠）で並べる。右は1行1記事で、日付（等幅数字13px・グレー）→カテゴリの淡色ピル→タイトル の3カラムをグリッドで固定（例 90px 120px 1fr）し、行の上下パディング24〜32px、区切りは1pxの罫線1本のみ。カード・影・背景色・角丸は一切使わない。hoverはタイトルの色替えと右端シェブロンの4px移動だけ。絞り込みを上に置きたい場合のみ、見出し下にパステル色チップを2段グリッドで敷き詰め、選択中だけ濃色反転させる置き方に差し替える。,件数が多く更新頻度が高い / 画像が無い／記事ごとの画質がバラバラ / 事務的な告知・入試情報が中心 / 静けさ・上品さを出したい,記事が3件以下でスカスカになる / 賑やかさが要る子ども向け / 1件を強く推したい,見出し（英字/縦組み） / 和文見出し / 絞り込みボタン列 / 日付 / カテゴリタグ / タイトル / 一覧ボタン,shoei_s03 sanrio_s03 linie_s12 r-reha_s08 koran_s02
news/news-typo-contrast-3col,news,極太見出し × 細字VIEW MORE × 等幅3カード,1,見出し1行と等幅3カードだけの最小構成。強さをタイポの落差だけで作るのが本体：左に英字の大見出しを極太（weight 800〜900・56〜80px・letter-spacing -0.02em）で置き、同じベースライン行の右端に「VIEW MORE」を10〜11pxの細字・トラッキング0.15emで小さく逃がす。この極太／極細の対比を殺すので、見出しには色も飾りも足さない（和名を出すなら黒縁の小ラベルを見出し直下に1つだけ）。カードは3列・gap 24〜32px、画像は16:9、角丸0〜4px、影なし・枠なし。カード内は 画像 → 日付 → タイトル2行clamp の固定順で、日付だけがこのセクション唯一の色（赤やブランド色・11px）。テキストは画像の左端に厳密に揃える。背景を黒にして見出しを白抜きにすると対比が最大化し、カード下端で白地へ切り替えるとセクションの切れ目も同時に作れる。見出し行の右端に絞り込みプルダウンや円形矢印を同居させてもよいが、右端の要素は必ず1つに絞る。一覧ボタンを下に置く場合は黒いピル型を中央に1つだけ。,記事がちょうど3件 / 3件とも横位置のビジュアルがある / 硬質・都会的なトーン / セクションを短く（400px前後）収めたい,子ども向けの柔らかいトーン / 画像の無い記事が混ざる / 記事が6件以上ある（粒度落差型へ回す）,英字見出し / 和文サブ（任意） / VIEW MOREリンク / カード画像×3 / 日付 / タイトル / 一覧ボタン（任意）,odrive_s09 odrive_s10 sho_seiha_s14 lumiarch_s10 linie_s13
news/news-edge-cut-carousel,news,画面右端で断ち切る横スクロール列,2,"カード列をコンテナ幅で終わらせず、ビューポート右端でわざと切って「続きがある」ことを見せる型。トラックだけを右へはみ出させる（左端は本文グリッドに揃え、右は100vwまで伸ばす／overflow-x:auto ＋ scroll-snap-type: x mandatory／カード幅280〜360px固定・gap 16〜24px）。ナビの置き方は3択：(a) 見出し＋リード＋一覧ボタンを左カラムに固定し、右のトラックだけを断ち切る (b) 中央寄せの見出しの左右に円形矢印を対で置く (c) 見出しの右上に小さな円形矢印2つ、トラック下に進捗ドット／バー。等幅カードの単調さを消す仕掛けとして、カードを1枚おきに上下24〜40pxずらして互い違いに並べるか、画像左上へ連番（01,02…）や順位バッジを載せる。カードは 画像＋カテゴリの色ラベル（彩度高め・画像の下辺に食い込ませる）＋タイトル2行＋日付。WEEKLY/MONTHLYのように2本の列を重ねる場合は、2本目のカードを一回り小さくして高さ差で主従を付ける。","件数が多く縦を使いたくない / 全件見せる必要のない""覗かせる""情報 / 前後のセクションが静的で動きが欲しい / ランキングや連載など順序に意味がある",全件を比較・一覧させたい / 件数が4件以下（切れる意味がない） / 見落とされては困る重要告知,見出し / 説明文（任意） / 前後矢印 / カード画像 / カテゴリ色ラベル / 順位/連番バッジ / タイトル / 日付 / 進捗ドット,kobe-wu_s05 odrive_s02 odrive_s12 musashino_s02 nakamura_s02
news/news-colorblock-card-band,news,色面の上に白カードを並べ、輪郭を壊す帯,2,"セクション全面を1色のベタ面（またはグラデ）にし、その上へ白い角丸カードを3〜4枚等間隔で並べたうえで、矩形の単調さを「輪郭を壊す4手」から1〜2手だけ使って解く型。①色面の上辺（または下辺）を大きな弧・波でカットして次のセクションへ繋ぐ ②カード列を色面の境界線に跨がせ、カード上半分は白地・下半分は色面にかかるよう配置する ③日付を入れた円形バッジ（φ64〜80px）をカード左辺から半分はみ出させ、カード右下の角は45度に切り落として矢印の円をそこへ落とし込む ④切り抜きの人物写真・手描き図形・紙テープを色面の左右の縁に置き、カードとは重ねずに余白側だけを埋める。カード内部は 対象/カテゴリの小タグ（色面と同系の淡色）→ タイトル2〜3行 → 日付（最下段グレー）の固定順、右下に丸い矢印ボタン。色面が濃いほどカードの内側余白を厚く（24〜28px）し、影はごく薄く（0 4px 16px rgba(0,0,0,.06)）。見出しは色面の上に小英字ラベル＋和文の2段で中央置き、「全てのお知らせ」は帯の右下へ小さく逃がす。",前後のセクションと色で断ち切りたい / 子ども向け・親しみのあるトーン / 切り抜ける人物写真や手描き素材がある / お知らせを本文の流れから独立した帯にしたい,記事本文をじっくり読ませたい（サマリー向きの型） / 素材が引きの写真だけで切り抜けない / 硬質・ミニマルなトーン,背景色面 / 見出し（英字+和文） / カード×3〜4 / 対象/カテゴリタグ / タイトル / 日付 / 円形矢印 / はみ出し装飾（切り抜き写真/図形） / 一覧リンク,meisei-kg_s04 meisei-es_s04 kobe-wu_s04 kobe-wu_s02
news/news-color-coded-accordion,news,対象者で色分けしたイベント受付アコーディオン,2,左に「EVENT」等の小英字ラベル＋和文見出し（2段組・2行目を一回り大きく）＋2行のリード＋線画/手描き装飾を寄せ、右（幅65〜70%）へ開催情報の行を積む。1行＝1イベントで、対象者タグ（角丸ピル）を行の左肩に少し上へずらして重ね、行の中は 日付（2026.08.25(火)）＋受付ステータス（「受付中」を主色の小さい文字で日付の右）＋イベント名 の2段、右端に開閉シェブロン。肝は色の同系統化で、対象者タグの色と行の背景色を同じ色相の濃淡（タグ＝彩度高め、行背景＝同色5〜8%）で揃え、行が縦に並んだときに淡い色帯のリズムが出るようにする。行高64〜80px、角丸12〜16px、行間8〜12px、罫線は使わない（区切りは背景色の切り替わりが担う）。リストの外側（左下・右上）に切り抜きの子ども写真・紙テープ・音符などを行と重ねずにはみ出させ、左カラム下部の空きを埋める。別導線がある場合のみ、リスト下に淡色の角丸ワイドバナー（左に丸いイラスト、右にボタン）を1枚だけ置いて階層を分ける。,開催日と対象者が主情報のイベント告知 / 対象区分が3つ以上ある / 詳細を畳んで一覧性を優先したい / 申込導線を各行に持たせたい,一般的な記事のお知らせ（展開する中身がない） / 対象区分が無く色分けが意味を持たない / 件数が2件以下,見出し（英字ラベル+和文） / リード文 / 装飾イラスト / 対象者タグ / 日付 / 受付ステータス / イベント名 / 展開部（詳細・申込ボタン） / 補助バナー（任意）,meisei-kg_s13 meisei-es_s13
news/news-paper-spread-schedule,news,見開き紙面に見立てた年間日程,3,"行数が20〜40に及ぶ年間イベント日程を、パンフレットの見開きに見立てて2ページへ割る型。淡いパターン背景（細かいドット／斜線）の上に白い紙面を1枚置き、中央に綴じ目を作る：中央線の左右へ内向きのグラデ影（幅40〜60px・rgba(0,0,0,.06)→透明）を左右対称に入れ、紙の外周に薄い影とごく浅い角丸を付ける。タイトルは紙面上部の中央に「2026 EVENT SCHEDULE」のように年号だけ太く残りを細くして置き、その下に和文サブを小さく添える。各ページの先頭にアイコン付きの小見出し（例：学園説明会・見学会／海外説明会）を1行、その下に色付きの罫線を1本引いて左右のページを別カテゴリとして立てる。行は「日付（4.25(土)／複数日は2行）｜項目名」の2カラムで、日付カラムは固定幅80〜96px・右揃え、項目名は下線付きリンク。行の区切り罫は紙面幅いっぱいに引かず、項目名カラムの幅だけに留めて紙面の余白を残す。左右で行数が揃わなくてよく、余った側は下を空けたままにする（揃えようとすると紙面らしさが消える）。",日程が20件以上ある / 2つのカテゴリに割れる（国内/海外・学年別など） / 学校・教室の年間スケジュール / 印刷物と世界観を揃えたい,件数が10件未満（見開きが空く） / 更新頻度が高くレイアウトが崩れる / モダン・ミニマルなトーン,紙面背景 / タイトル（年号+英字） / 和文サブ / 左ページ小見出し / 左ページ日程行 / 右ページ小見出し / 右ページ日程行 / 一覧リンク,meikei_s05
footer/footer-typo-signature,footer,タイポ署名フッター（特大コピー＋断ち切りワードマーク）,1,"フッターを3層で組む。(a)最上層＝ステートメント：ブランドコピー1行を clamp(28px,6vw,72px) の明朝または極太ゴシックで、中央または左寄せに置く。上下の余白は本文行間の3倍以上取り、この層には他の要素を一切置かない。(b)中層＝サイトマップ：6〜8カラム。列見出しは12-14px太字＋小さな三角/ハイフンのビュレット、子リンクは11-12px・行間1.9・文字色を1段薄く。列幅は均等割りにせず内容幅auto＋gap 32-48pxで、右端1〜2列は見出しのみ（子リンクなし）にして意図的に余白を作る。ロゴ・住所・電話は中層の左下に10-12pxで小さく畳む。(c)最下層＝ワードマーク：社名/校名の英字を画面幅いっぱい（font-size:13vw前後、letter-spacing:0.06em、左右padding 0）で1行だけ置き、コンテナ下端でベースラインごと数px切って断ち切る。層の境界は罫線を引かず、1px点線か極薄罫1本のみ。地色は白かごく淡いブランド色、文字色はブランド濃色1色に統一して色数を増やさない。高さ比は (a):(b):(c) ≒ 1:2.5:1。(a)と(c)は片方だけでも成立するが、リンクを細字で徹底的に小さく保つことが必須条件。",サイトの締めに「言い切り」の余韻を残したい / 校名・社名の英字表記が長く、字面そのものが絵になる / リンク項目が多く、それを整理された地味な面として処理したい,社名が短くワードマークが間延びする / 背景に写真を敷きたい / リンクが5個以下でサイトマップ層が痩せる,ブランドコピー1行 / サイトマップ列見出し×6-8 / 子リンク / ロゴ / 住所/電話 / 英字ワードマーク / 法務リンク / コピーライト,meisei-es_s16 meisei-kg_s15 odrive_s13 meisei-kg_s16
footer/footer-two-tier-cta,footer,二段構えフッター（導線帯＋事務フッター）,1,「最後の受け皿」と「事務情報」を、罫線ではなく面の色替えだけで2段に分ける。上段＝導線帯は全幅で、背景を明るい/彩度の高い色（またはブランド色ベタ）に切り替え、中身は案件に応じて1つだけ選ぶ：①色を塗り分けた角丸ピルボタンを横一列（3〜4個・高さ56-64px・矢印付き）②角丸タグを折返しで敷き詰めたタグ雲（淡色ブロック地）③全幅4分割の写真ストリップ（高さ130-160px・gap 0・断ち切り）④大型CTA1個＋短い企業メッセージを中央寄せ。上段の上下padding 40-56px。下段＝事務フッターは背景を濃色ベタまたは白に落とし、ロゴ・リンク・法務・コピーライトだけを最小限に置く（上下padding 32-48px）。2段の境界に罫線・影・角丸を入れないこと。色の切り替わりだけで段が読めるのが要件。写真ストリップを選んだ場合のみ、下段は極端に静か（コピーライト1行だけ）にして写真を主役にする。,LPの最終CTAをフッターに繋げたい / 回遊させたい導線（資料請求/アクセス/教室検索）が3〜4本ある / 記事系でカテゴリタグを最後にまとめて見せたい,ページ内に既に固定CTAバーがあり導線が重複する / 上段に入れる導線が1本しかない（ピル1個は間が持たない）,導線帯の中身（ボタン群/タグ雲/写真4枚/大型CTA） / 導線帯の見出しまたは短文 / ロゴ / フッターリンク / SNS / コピーライト,musashino_s16 lumiarch_s14 sho_peppy_s15 sho_gakken_s13 sho_atama_s16
footer/footer-centered-emblem,footer,中央寄せ紋章フッター（LP最小構成）,1,リンクが少ない1枚もののLP向け。ブランド濃色のベタ1色（本文の最暗色より一段明るく）を全幅に敷く。中央にエンブレム/ロゴを幅180-260pxで置き、その下に住所・電話を12-13px・中央寄せで2行。さらに下にリンクを横1行、区切りは「｜」または1px縦罫で、項目は最大5つ（超えるなら2段に折り返す）。最下部に幅100%の細罫（白の不透明度15-20%）を1本だけ引き、その下のブロックにpadding 16-20pxを与えてコピーライトを10-11pxで中央寄せ。全体の上下padding 56-80px、要素間は32/16/24pxのリズムで詰める。ベタ地を使わず白地＋上端1px罫でも同じ構造で成立する。要件は「情報を横に散らさず、中央の縦一本の軸に全部載せること」。カラム分割・左右振り分けを持ち込んだ時点でこの型は壊れる。,単体LP・イベントLPでフッターに載せる情報が5項目以下 / 本文が賑やかで、最後は静かに締めたい / ブランドカラーのベタ面で全体を締めくくりたい,サイトマップとして20項目以上を載せる必要がある / SNSや外部リンクのボタンを複数並べたい,ロゴ/エンブレム / 住所 / 電話 / リンク1行（最大5） / コピーライト,koran_s15 sho_meiko_s16 sho_globalcrown_s16
footer/footer-3block-brand-links-actions,footer,3ブロック分割フッター（ブランド｜サイトマップ｜アクション）,2,横を3つの役割ブロックに割る。左33%＝ブランド：ロゴ（高さ40-56px）、その下に和文タグライン2行（12-13px・行間1.8）、さらに小さく英字の一行キャッチ、最下部にコピーライト10-11px。中央40%＝サイトマップ：英字ラベル（10-11px・大文字・トラッキング0.1em）＋和文（13-14px）の2段を1リンクとして扱い、2〜3カラム×4〜6行で整列。行間は1リンクぶんが1ブロックに見えるようgap 20-24px。右27%＝アクション：角丸ピル型の外部リンクボタン（高さ44-48px・幅いっぱい・右端に外部リンクアイコン）を2つ縦積みし、その下にSNSを「丸アイコン＋名称」の形で縦一列。左右の分割には細い縦罫1本（1px・不透明度20%）だけを使い、囲み枠・背景色差は使わない。上下padding 64-96px、左右padding 5-8%。役割の違いを文字サイズとボタン形状だけで表現するのがこの型の要点で、色は最大2色に抑える。,コーポレート/スクールサイトの通常ページ / グループサイト・採用サイトなど外部への送り出しが2本ある / サイトマップが10〜20項目と中規模,リンクが5項目以下でサイトマップ列が痩せる / キャラクターや写真を主役にしたい,ロゴ / タグライン2行 / サイトマップ（英字＋和文の2段ラベル） / 外部リンクピル×2 / SNS（アイコン＋名称） / コピーライト,linie_s15 tanq_s12 sho_novakid_s16 meikei_s16
footer/footer-visual-anchor,footer,片側オブジェ・フッター（大きな絵1点で重心を作る）,2,広い余白の白またはごく淡い地に、片側（原則右）へ「大きな1点」を置いて重心を作る。1点はブランドの抽象イラスト／キャラクターの切り抜き／写真のいずれか1種類だけで、フッター高さの70-90%を占める大きさにし、矩形に収めず背後に淡い有機シェイプ（円・ブロブ）を敷いて受けるか、上下を断ち切る。反対側（左）はロゴのみを置き、他は何も置かない。中央にリンクを2段（1段6項目まで）の横並びテキストで13px・gap 24-32pxで並べ、その下に住所/法人名を4行の小さなブロック（11-12px・行間1.7）で畳む。最下部に10pxの法務リンク＋コピーライトを1行、細罫で分離。この型の絶対条件は「リンクの文字を大きくしないこと」——絵とテキストの面積差・サイズ差だけで視線の順序を作る。絵の色は原色可、テキストは黒/濃グレー1色に統一する。,ブランドのイラスト資産・キャラクター資産がある / フッターまで世界観を持たせたい情緒重視のサイト / リンクが10項目前後で、多段サイトマップにするほどではない,使える絵素材がない（矩形写真だけしかない場合は成立しない） / リンクが30項目以上ある / 濃色ベタ地で締めたい,大きな絵（イラスト/キャラ/写真） / 背後の有機シェイプ / ロゴ / リンク2段 / 住所/法人名 / 法務リンク / コピーライト,unico_s16 sanrio_s08 gakugei_s14
footer/footer-organic-edge,footer,有機的な縁で切り出すフッター（波形クリップ＋モチーフ）,3,フッター全体を1枚の「面」として本文から切り離す。上端（必要なら下端も）をclip-path/SVGの波形で切り取り、面はパステルのグラデーションか淡い単色。波の振幅24-40px、周期は画面幅の1/3程度で、左右対称にせず不規則にする。波のすぐ下と面の左右の縁に、キャラクターや幾何モチーフ（三角・ドット・×・小さなイラスト）を大小混ぜて5〜8個散らし、そのうち1〜2個は波の線をまたいで重ねて縁を曖昧にする。中身は2通り：①ロゴを中央上→中央寄せリンク2段→細字の法務リンク、②星・矢印などのアイコン付きリンクを3カラムのサイトマップ（親→子をハイフンで字下げ）。最下部には面より濃い（または白の）別色の帯を全幅で敷き、コピーライトを1行だけ収める。モチーフは散らすがリンクの整列は崩さない——柔らかい縁と整列した中身のコントラストが要点。,幼児・小学生向けなど、直線で締めると硬すぎる案件 / キャラクターやイラストのあしらい素材がある / 本文が白基調で、最後だけ色面に落としたい,B2B・進学実績訴求などフォーマルさが必要な案件 / あしらい素材がなく波形だけになる（それだけでは弱い）,波形の上端 / 面の背景（淡色/グラデ） / 縁のモチーフ×5-8 / ロゴ / リンク（中央2段 or 3カラム） / SNSアイコン / 下端のコピーライト帯,ikeda_s13 sho_globalcrown_s16 yamanomi_s10
cta/cta-band-cutout,cta,ベタ色帯＋切り抜き人物はみ出し,1,ブランドの明るいベタ色（黄・オレンジ等）を全幅の帯にし、切り抜きの人物（スタッフ／親子）を帯の上端または左端から3分の1だけはみ出させて境界を破る。帯高はPC 320〜420px。帯の中身は縦3段で、(1)『＼ 〜 ／』のスラッシュで挟んだ一言コピー、(2)主CTA＝横長の濃色ボタン（帯色と明度差の大きい色、幅420〜560px・高64〜72px・右端に▶）、(3)副導線＝白の角丸ボックスに電話番号＋受付時間、または白の小ピル2枚。主CTAと副導線のあいだは必ず明度差で分ける（濃ボタン↔白ボックス）。同系色を隣接させると帯の中が平坦になり効かない。人物は帯の左に立たせて左→右の視線でボタンに着地させるか、上端中央から上半身だけ出す。人物の足元は帯の下端に接地させず、帯の色で切る。,押させたい行動が1つに決まっている / 人物・スタッフの切り抜き素材がある / ページの締めではなく本文の途中に強い導線を挟みたい / 電話とフォームの2導線を1ブロックに収めたい,導線が3本以上あり優先順位がつけられないとき（cta-priority-stackへ） / 静かで上品に締めたいとき（cta-airy-cutoutsへ） / 切り抜き素材がなく写真が引きの実景しかないとき（cta-photo-carveへ）,帯の背景色 / 切り抜き人物写真 / 一言コピー / 主CTA文言 / 副CTA文言 / 電話番号 / 受付時間,sho_peppy_s09 sho_kidsduo_s09 sho_kidsduo_s13
cta/cta-priority-stack,cta,主副を塗り分けで表すボタン群／下部固定バー,1,導線が3本あり、押させたい1本が決まっているときの型。空間で分割せず、塗り・幅・高さの3段階だけで序列を作る。主＝ベタ塗り（ブランド濃色）幅100%・高72px、副1＝同系の淡色ベタ 幅80%・高60px、副2＝白地＋1.5px枠 幅80%・高60px。3本とも角丸は高さの半分（ピル）で形は完全に揃え、左にアイコン、右に丸矢印か『＞』を置いて差を色と大きさだけに限定する。各ボタンの左肩に『無料』『簡単30秒』の小タグを傾けずに貼ると押下障壁が下がる。上に実績数字を3つ（メダル／バッジ形）横並びで置いてからボタンへ落とす構成も有効で、その場合は数字ブロックとボタン群を細い角丸枠で囲って1つのパネルにする。画面下固定バー版は、上のセクションと背景色を変えた帯（高88〜96px、上端に薄い影）に同じ3ピルを横並びで置きfixedにする。,申込・資料請求・問い合わせなど導線が3本ある / うち1本を明確に押させたい / ページ最下部の締め、または常時追従させたい,導線が互いに等価で優先順位をつけたくないとき（cta-channel-columnsへ） / 導線が1本しかないとき（cta-airy-cutouts / cta-photo-carveへ） / 色をブランド1色に絞りたいとき（塗り分けの3段階が作れない）,見出し / 実績数字×3 / 主CTA文言 / 副CTA文言×1〜2 / 小タグ文言 / アイコン,hanamaru_s10 sho_hanamaru_s10 sho_eikenacademy_s13 sho_meiko_s05
